neighbourhood;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm
Donostia-San Sebastian;Entire home/apt;158;2;256;45111;2.34;1;126;4
Hondarribia;Entire home/apt;128;2;53;45242;0.63;2;199;11
Mundaka;Entire home/apt;104;1;84;45203;0.78;9;152;7
Donostia-San Sebastian;Private room;85;1;406;45256;3.82;2;287;50
Donostia-San Sebastian;Private room;81;2;457;45379;4.30;1;56;54
Donostia-San Sebastian;Entire home/apt;175;1;176;45280;1.63;87;38;21
Donostia-San Sebastian;Private room;70;3;210;45089;1.97;2;90;2
Orio;Entire home/apt;106;2;207;45378;1.91;1;202;31
Donostia-San Sebastian;Entire home/apt;200;1;57;45118;0.54;87;257;2
Donostia-San Sebastian;Entire home/apt;130;5;35;45189;0.62;1;168;7
Zumaia;Entire home/apt;450;4;9;45161;0.11;1;347;3
Donostia-San Sebastian;Entire home/apt;162;2;325;45379;3.05;1;210;54
Donostia-San Sebastian;Entire home/apt;160;2;139;45242;1.29;1;335;22
Bilbao;Private room;60;1;512;45375;4.77;1;125;107
Zumaia;Entire home/apt;101;2;200;45379;1.86;1;162;10
Bilbao;Hotel room;97;1;74;45363;0.73;4;292;13
Bilbao;Hotel room;127;1;15;44974;0.14;4;264;0
Bilbao;Hotel room;157;1;3;44366;0.03;4;225;0
Bilbao;Hotel room;121;1;1;43462;0.02;4;275;0
Donostia-San Sebastian;Entire home/apt;348;3;96;45290;0.91;1;251;20
Lekeitio;Entire home/apt;75;1;220;45370;2.07;1;293;30
Donostia-San Sebastian;Entire home/apt;150;7;6;42972;0.06;7;261;0
Zigoitia;Entire home/apt;148;2;61;45288;0.59;3;200;12
Mundaka;Entire home/apt;103;2;65;45124;0.61;1;319;1
Donostia-San Sebastian;Entire home/apt;182;1;20;44724;0.19;10;232;0
Donostia-San Sebastian;Entire home/apt;769;2;147;45361;1.46;1;293;36
Donostia-San Sebastian;Entire home/apt;325;1;104;45334;1.00;87;205;13
Donostia-San Sebastian;Entire home/apt;108;2;272;45380;2.54;1;127;47
Bilbao;Entire home/apt;119;2;515;45371;4.88;3;263;17
Donostia-San Sebastian;Entire home/apt;144;1;298;45380;2.81;1;157;52
Donostia-San Sebastian;Private room;85;2;120;45349;1.13;1;112;24
Donostia-San Sebastian;Private room;56;1;447;45367;4.34;4;283;54
Donostia-San Sebastian;Private room;71;1;613;45371;5.77;4;201;76
Hondarribia;Entire home/apt;136;2;303;45361;2.87;1;31;42
Segura;Entire home/apt;170;2;55;45293;0.66;1;302;12
Hondarribia;Private room;80;2;19;44802;0.34;1;89;0
Donostia-San Sebastian;Entire home/apt;139;1;706;45380;6.66;1;225;92
Donostia-San Sebastian;Entire home/apt;247;1;15;45157;0.14;10;252;2
Donostia-San Sebastian;Private room;80;4;194;45176;1.83;2;89;5
Donostia-San Sebastian;Private room;80;1;51;43604;0.48;4;0;0
Donostia-San Sebastian;Private room;150;1;112;43476;1.05;4;0;0
Donostia-San Sebastian;Private room;70;1;53;43690;0.50;4;0;0
Donostia-San Sebastian;Entire home/apt;463;28;5;45200;0.05;4;126;2
Sukarrieta;Entire home/apt;160;2;107;45361;1.34;1;170;9
Ormaiztegi;Private room;49;1;28;45150;0.26;4;216;1
Zarautz;Entire home/apt;116;1;398;45382;3.75;1;68;46
